Cancer Type,Source URL,Scrape Date,Content Hash,General Description,Prognosis (Vooruitzichten),Symptoms (Symptomen),Causes (Oorzaken),Treatments (Behandeling)
Blaaskanker,https://www.kanker.nl/kankersoorten/blaaskanker,2026-05-31 14:54:38,37e0be53b6e6b52c79cf14a0d98f669ffebf6345cd1a35e91cd3d321ebcb37a1,"Blaaskanker is kanker van de blaas. Meestal wordt met blaaskanker urotheelcarcinoom van de blaas bedoeld, maar er zijn ook zeldzamer soorten blaaskanker.",Hoe je vooruitzichten zijn en of je kunt genezen van blaaskanker hangt vooral af van de soort blaaskanker . Je vooruitzichten zijn slechter als er al uitzaaiingen zijn wanneer je de diagnose krijgt. Het is lastig om algemene informatie te geven over jouw situatie. De vooruitzichten hangen ook af van je persoonlijke omstandigheden. Heb je vragen? Stel ze dan aan je arts. Bekijk de overlevingscijfers van blaaskanker .,"Blaaskanker wordt vaak bij toeval ontdekt. De meeste mensen met blaaskanker hebben in het begin geen klachten. Als de tumor groeit, kun je last krijgen van bloed in je urine. Opvallend is dat je hierbij geen andere klachten hebt, zoals pijn of het gevoel van een blaasontsteking.",Roken is de belangrijkste risicofactor voor het krijgen van blaaskanker. Ook bepaalde giftige stoffen vergroten de kans dat je blaaskanker krijgt.,"Welke behandeling je krijgt, verschilt per soort blaaskanker. Als het kan, probeert de arts de tumor te verwijderen. Je kunt daarna ook nog een andere behandeling krijgen zoals chemotherapie."
Darmkanker (dikkedarmkanker),https://www.kanker.nl/kankersoorten/darmkanker-dikkedarmkanker,2026-05-31 14:54:45,4c95b3dd02770b99ec6521f00de216093f5d8ff39777e47f8aeba6f66aeb64d9,"Darmkanker is kanker die in de darmen is ontstaan. Meestal zit darmkanker in de dikke darm. Het heet dan dikkedarmkanker of coloncarcinoom, maar mensen noemen het vaak darmkanker.",De prognose van darmkanker verschilt per persoon. Het maakt ook uit hoe ernstig de ziekte is: hoe groot de tumor is en of er uitzaaiingen zijn. Gemiddeld leven tien jaar na de diagnose dikkedarmkanker nog ongeveer 60 van de 100 mensen. Stel je vragen over je vooruitzichten aan je arts. Bekijk de overlevingscijfers van darmkanker .,"Als je een tumor in je darmen hebt, kan dat allerlei klachten geven. Een van de symptomen van darmkanker is bloed of slijm bij je ontlasting. Ook kun je last krijgen van verstopping door een tumor in de darm. Soms heb je helemaal geen klachten, maar wordt darmkanker ontdekt door het bevolkingsonderzoek of een ander onderzoek. De meest voorkomende klachten bij darmkanker: bloed en/of slijm in je ontlasting een verandering in je ontlasting die niet overgaat het gevoel dat je moet poepen, ook al moet je niet, of het gevoel dat de darm niet helemaal leeg is na het poepen afvallen zonder reden vermoeidheid die niet overgaat (vaak door bloedarmoede) minder zin in eten buikpijn of buikkramp Herken je de symptomen? Maak dan een afspraak bij de huisarts. Als je geen doorverwijzing krijgt, ga opnieuw naar je huisarts als de klachten aanhouden of terugkomen. Ga ook naar de huisarts als er darmkanker in de familie zit. Je kunt met hem of haar bespreken of je een erfelijkheidstest kunt krijgen. Of dat het misschien nodig is dat je een darmonderzoek krijgt. Let op: heb je bloed in je ontlasting? Dan is het altijd verstandig om een afspraak te maken met je huisarts. Bekijk de uitgebreide informatie over de symptomen van darmkanker .","Er is niet één oorzaak van darmkanker. Vaak ontstaat darmkanker uit een poliep in de darmwand . Wel zijn er factoren die de kans op darmkanker kunnen vergroten, zoals erfelijke aanleg voor darmkanker, chronische darmontsteking, veel darmpoliepen en/of een ongezonde leefstijl. Bekijk de uitgebreide informatie over risicofactoren van darmkanker .","Voor darmkanker zijn er verschillende behandelingen. De meeste mensen krijgen een operatie. Maar ook kan de arts chemotherapie voorstellen. Je krijgt soms meerdere behandelingen. Welke behandeling voor jou het meest geschikt is, hoor je van je arts. Bekijk de uitgebreide informatie over de behandeling van darmkanker ."
Dunnedarmkanker,https://www.kanker.nl/kankersoorten/dunnedarmkanker,2026-05-31 14:54:54,d7e0220acd299a47bdc9988b159b734b13fd3859bd47776d7889ff85299927da,"Dunnedarmkanker is kanker die in de dunne darm ontstaat. Dunnedarmkanker komt niet vaak voor. Omdat dunnedarmkanker vaak pas laat ontdekt wordt, zijn de vooruitzichten meestal niet goed.","Veel mensen die net te horen hebben gekregen dat ze kanker hebben willen iets weten over hun vooruitzichten. Wat staat er te gebeuren en hoe lang heb ik nog te leven? Soms is daar iets over te zeggen, maar soms ook niet. De prognose hangt af van verschillende dingen. Bijvoorbeeld van hoe groot de tumor is, of er uitzaaiingen zijn en of de behandeling goed aanslaat. Wil je weten waar je aan toe bent? Vraag het aan je arts. Die kan misschien meer vertellen. → Bekijk de cijfers over dunnedarmkanker . Goed om te weten: dit zijn gemiddelde overlevingscijfers.","Het kan lang duren voordat de arts ontdekt dat je dunnedarmkanker hebt. De meeste mensen met dunnedarmkanker hebben in het begin namelijk geen klachten of alleen vage klachten. Als de tumor groeit, kun je last krijgen van misselijkheid, een opgeblazen gevoel, vage buikpijn, vermoeidheid of minder zin om te eten.",De precieze oorzaak van dunnedarmkanker is niet bekend. Wel zijn er risicofactoren die de kans groter maken dat je dunnedarmkanker krijgt.,"De meeste mensen met dunnedarmkanker krijgen een operatie. De arts haalt de tumor dan weg. Als je uitzaaiingen hebt, krijg je meestal chemotherapie of bestraling."
Borstkanker bij mannen,https://www.kanker.nl/kankersoorten/borstkanker-bij-mannen,2026-05-31 14:54:39,b1f0413b72df298d04af732a6d4dc920f7d90d09835bc10dee50dc3e143d0822,"Borstkanker bij mannen ontstaat in de borst, bij de linker- of rechtertepel of op beide plekken. Borstkanker heet ook wel mammacarcinoom. Borstkanker komt bij mannen niet vaak voor. De behandeling is bijna hetzelfde als bij vrouwen.","Begrijpelijk dat je meer wilt weten over je vooruitzichten. Is borstkanker goed te behandelen en wat kun je verwachten? Soms is daar iets over te zeggen, maar soms ook niet. De prognose van borstkanker hangt af van verschillende dingen. Bijvoorbeeld van de soort borstkanker die je hebt en het stadium van de ziekte bij diagnose. Wil je weten waar je aan toe bent? Vraag het je arts. Die kan misschien meer vertellen. Bekijk ook de overlevingscijfers van borstkanker bij mannen .",Soms kun je een verandering in je borst voelen of zien. Bijvoorbeeld een knobbeltje of verandering aan je tepel.,"Overgewicht, roken en alcohol maken het risico groter om borstkanker te krijgen. Borstkanker bij mannen kan ook ontstaan door erfelijke aanleg. Lees meer over de risicofactoren van borstkanker bij mannen .","Bij borstkanker zijn verschillende behandelingen mogelijk. Bijvoorbeeld een operatie, bestraling of chemotherapie. Vaak stelt de arts een combinatie van behandelingen voor. Welke behandeling(en) de arts voorstelt, hangt onder andere af van de soort borstkanker en het stadium van de ziekte."
Borstkanker,https://www.kanker.nl/kankersoorten/borstkanker,2026-05-31 14:54:38,a12cceeeb7d1102d45e5b9aaf82b76dcd0d6fa751faadc195a72ab0bc6e4e083,Borstkanker is kanker die in de borst ontstaat. Het medische woord is mammacarcinoom. In Nederland krijgt 1 op de 7 vrouwen de diagnose borstkanker.,"Begrijpelijk dat je meer wilt weten over je vooruitzichten. Is borstkanker goed te behandelen en wat kun je verwachten? Soms is daar iets over te zeggen, maar soms ook niet. De prognose van borstkanker hangt af van verschillende dingen. Bijvoorbeeld van de soort borstkanker die je hebt en het stadium van de ziekte bij diagnose. Wil je weten waar je aan toe bent? Vraag het je arts. Die kan misschien meer vertellen. Bekijk de overlevingscijfers bij borstkanker .",Soms kun je een verandering in je borst voelen of zien. Bijvoorbeeld een knobbeltje of verandering aan je tepel.,Deze informatie is gecontroleerd door deskundigen.,"Bij borstkanker zijn verschillende behandelingen mogelijk. Bijvoorbeeld een operatie, bestraling of chemotherapie. Vaak stelt de arts een combinatie van behandelingen voor. Welke behandeling(en) de arts voorstelt, hangt onder andere af van de soort borstkanker en het stadium van de ziekte."
Galblaaskanker,https://www.kanker.nl/kankersoorten/galblaaskanker,2026-05-31 14:55:07,92fb9970ada9235ac0a293d6374b8d7d56c6732442859fd12a7b463dbe445d8c,Galblaaskanker is kanker die ontstaat in de galblaas. Galblaaskanker komt weinig voor. Per jaar krijgen minder dan 200 mensen de diagnose. Een ander woord voor galblaaskanker is galblaascarcinoom.,"Veel mensen gaan op zoek naar wat galblaaskanker betekent voor hun vooruitzichten. Is deze kanker goed te behandelen en wat kan ik verwachten? Soms is daar iets over te zeggen, maar soms ook niet. Bij galblaaskanker zijn je vooruitzichten meestal niet goed. Wil je weten waar je aan toe bent? Vraag het aan je arts. Die kan misschien meer vertellen. Bekijk de overlevingscijfers van galblaaskanker .","Galblaaskanker geeft in het begin meestal geen klachten. De klachten ontstaan vaak als de tumor groeit en de galwegen dichtdrukt. Dan kun je symptomen krijgen van geelzucht, zoals een gele huid, geel oogwit en jeuk. Bij galblaaskanker kun je ook last krijgen van pijn onder je ribbenboog.","Meestal is het niet duidelijk waarom galblaaskanker ontstaat. Er zijn wel risicofactoren die de kans op galblaaskanker groter maken. Bijvoorbeeld als je galstenen hebt, of een galblaasontsteking hebt gehad.",De meeste mensen met galblaaskanker krijgen chemotherapie of een andere behandeling tegen de klachten van de kanker. Soms krijg je een operatie. Dat kan meestal alleen als de tumor niet in andere organen is gegroeid. En als je geen uitzaaiingen hebt.
Hartkanker,https://www.kanker.nl/kankersoorten/hartkanker,2026-05-31 14:55:22,0fb78b65bf09e627923c0eaf7af4722092a6dec2d7c22825b5e5522b5eadfdf6,Hartkanker is kanker die in het hart ontstaat. Hartkanker is heel zeldzaam. Ook uitzaaiingen van een andere soort kanker naar het hart komen heel weinig voor.,Er is erg weinig bekend over hartkanker. En over hoelang je kunt leven met een tumor in het hart. Wil je weten waar je aan toe bent? Vraag het aan je arts. Die kan misschien meer vertellen.,"De klachten bij hartkanker zijn heel wisselend. Welke klachten je krijgt, hangt af van de plek waar de tumor zit. Symptomen van hartkanker zijn onder andere: pijn op de borst kortademigheid hartkloppingen vermoeidheid misselijkheid of overgeven Goed om te weten: de kans dat je hartkanker hebt, is heel klein. Meestal hebben deze klachten een andere oorzaak.",N/A,"Als je hartkanker hebt, bespreekt de cardioloog met je wat in jouw situatie de beste behandeling is. Meestal is dat een operatie. Je kunt alleen een operatie krijgen als er nog voldoende van je hart overblijft om te kunnen blijven pompen. Daarom krijg je soms eerst chemotherapie en/of bestraling om de tumor kleiner te maken."
Endeldarmkanker,https://www.kanker.nl/kankersoorten/endeldarmkanker,2026-05-31 14:55:05,1b72ce2d1769898e5c49e47ff5bf02cd2ffea97151a9aa44b1d37c4b2c3214f9,Endeldarmkanker is kanker die in de endeldarm ontstaat. De endeldarm is het laatste stuk van de dikke darm. De medische naam voor endeldarmkanker is rectumcarcinoom.,De prognose van endeldarmkanker verschilt per persoon. Het maakt ook uit hoe ernstig de ziekte is: hoe groot de tumor is en of er uitzaaiingen zijn. Gemiddeld leven tien jaar na de diagnose endeldarmkanker nog ongeveer 59 van de 100 mensen. Stel je vragen over je vooruitzichten aan je arts. Bekijk de overlevingscijfers van endeldarmkanker .,"Als je een tumor in je endeldarm hebt, kan dat allerlei klachten geven. Een van de symptomen van endeldarmkanker is bloed of slijm bij je ontlasting. Ook kun je last krijgen van verstopping door een tumor in de darm. Bekijk de uitgebreide informatie over de symptomen van endeldarmkanker .","Er is niet één oorzaak van endeldarmkanker. Vaak ontstaat de kanker uit een poliep in de darmwand . Wel zijn er factoren die de kans op endeldarmkanker kunnen vergroten, zoals erfelijke aanleg voor darmkanker, chronische darmontsteking, veel darmpoliepen en/of een ongezonde leefstijl. Bekijk de uitgebreide informatie over risicofactoren voor endeldarmkanker .","Voor endeldarmkanker zijn er verschillende behandelingen. De meeste mensen krijgen een operatie. Ook kan bestraling of chemoradiatie een mogelijke behandeling zijn. Je krijgt soms meerdere behandelingen. Welke behandeling voor jou het meest geschikt is, hoor je van je arts. Bekijk de uitgebreide informatie over de behandelingen bij endeldarmkanker . Bij de behandeling van endeldarmkanker maakt het uit of de tumor alleen in de darm zit, is doorgegroeid of is uitgezaaid. Bekijk de mogelijke behandelingen per stadium ."
Eierstokkanker,https://www.kanker.nl/kankersoorten/eierstokkanker,2026-05-31 14:54:58,4e2eb0427d679f1d32479b0381c9a35bce74f82e1a188a8ee0af64e111b941a9,Eierstokkanker ontstaat meestal in een eileider. Vandaaruit verspreidt de kanker zich naar de buikholte en de eierstokken. Het medische woord voor kanker op een eierstok is ovariumcarcinoom. Eierstokkanker wordt vaak pas laat ontdekt.,"Het is begrijpelijk dat je meer wilt weten over je vooruitzichten. Is eierstokkanker goed te behandelen en wat kun je verwachten? Soms is daar iets over te zeggen, maar soms ook niet. Dat hangt af van verschillende dingen. Bijvoorbeeld of er uitzaaiingen zijn en hoe snel de kankercellen groeien en zich delen. Wil je weten waar je aan toe bent? Vraag het je arts. Die kan misschien meer vertellen. Bekijk de overlevingscijfers van eierstokkanker .",Van eierstokkanker heb je in het begin geen klachten. Vaak zaait de ziekte snel uit naar de buik. Dan krijg je meestal wel klachten. De symptomen zijn dan: buikpijn een dikkere buik een vol gevoel,Eierstokkanker ontstaat waarschijnlijk in de eileider. Er zijn factoren die het risico op eierstokkanker groter maken. Zoals veel eisprongen hebben in je leven. Ongeveer 1 op de 10 vrouwen krijgt de ziekte door een erfelijke aanleg. Lees meer over de oorzaken en risicofactoren van eierstokkanker .,De behandeling van eierstokkanker bestaat meestal uit een operatie en chemotherapie. Soms krijg je ook nog doelgerichte therapie.
Galwegkanker,https://www.kanker.nl/kankersoorten/galwegkanker,2026-05-31 14:55:10,a39d2e226e1794e04731eb4b07c4b9a800f093b51e70fcc9f0be83f35190c892,Galwegkanker is kanker die ontstaat in de galwegen. De galwegen zitten in de bovenbuik. Galwegkanker komt weinig voor. Galwegkanker heet ook wel cholangiocarcinoom.,"Veel mensen gaan op zoek naar wat galwegkanker betekent voor hun vooruitzichten. Is deze kanker goed te behandelen en wat kan ik verwachten? Soms is daar iets over te zeggen, maar soms ook niet. Bij galwegkanker hangen je vooruitzichten af van het stadium van de ziekte . Wil je weten waar je aan toe bent? Vraag het aan je arts of verpleegkundig specialist. Die kan misschien meer vertellen. Bekijk de overlevingscijfers van galwegkanker .","Galwegkanker geeft in het begin meestal geen klachten. De klachten ontstaan vaak als de tumor groeit en de galwegen hierdoor verstopt raken. Dan kun je last krijgen van misselijkheid, jeuk en geelzucht, zoals een gele huid en geel oogwit.",Meestal is niet duidelijk waarom galwegkanker ontstaat. Er zijn wel risicofactoren die de kans op galwegkanker groter maken.,De behandeling van galwegkanker verschilt per persoon. Veel mensen krijgen chemotherapie of een andere behandeling tegen de klachten van de kanker. Soms krijg je een operatie. Dat kan meestal alleen als je geen uitzaaiingen hebt. En als de tumor niet doorgroeit in je grote bloedvaten.
Hoofd-halskanker,https://www.kanker.nl/kankersoorten/hoofd-halskanker,2026-05-31 14:55:26,5605d58eb5435608fad477aa51f6f6aee72b922a992a89c1d6d28e7c346b837f,"Hoofd-halskanker is een verzamelnaam van verschillende soorten kanker in het gezicht of in de hals. Zoals keelkanker, mondkanker, strottenhoofdkanker of neuskanker.",N/A,N/A,N/A,N/A
